produto_id,date,time,nome_produto,valor,categoria,status,departamento
20,2026-02-07,14:48:06,Panela Antiaderente 24cm,412.57,Premium,cancelado,Casa & Cozinha
6,2026-02-07,08:53:07,Garrafa Térmica 750ml,931.9,Acessórios,produzinho,Esportes
27,2026-02-07,05:32:37,Livro Best‑Seller,954.39,Sustentável,cancelado,Moda
24,2026-02-07,01:44:31,Perfume Feminino 100ml,1038.54,Importado,ativo,Eletrônicos
22,2026-02-07,02:26:20,Toalha de Banho Premium,1789.87,Premium,em baixa,Esportes
12,2026-02-07,03:02:26,"Monitor 24"" Full HD",441.65,Premium,em baixa,Moda
24,2026-02-07,12:51:53,Perfume Feminino 100ml,1386.94,Básico,em baixa,Casa & Cozinha
26,2026-02-07,21:37:40,Shampoo Reparação 500ml,296.67,Importado,produzinho,Eletrônicos
11,2026-02-07,07:39:31,Mouse Gamer 12000 DPI,1182.33,Premium,cancelado,Moda
1,2026-02-07,20:11:05,Camiseta Básica Algodão,1771.07,Importado,cancelado,Casa & Cozinha
30,2026-02-07,22:25:39,Lego Compatível 500 peças,399.31,Edição Especial,cancelado,Moda
6,2026-02-07,12:07:40,Garrafa Térmica 750ml,425.86,Edição Especial,cancelado,Eletrônicos
22,2026-02-07,01:43:21,Toalha de Banho Premium,1597.53,Edição Especial,produzinho,Moda
19,2026-02-07,10:24:37,Kit Ferramentas 46 peças,140.36,Sustentável,cancelado,Eletrônicos
25,2026-02-07,05:18:59,Creme Hidratante 400ml,2267.24,Acessórios,cancelado,Esportes
11,2026-02-07,04:21:39,Mouse Gamer 12000 DPI,2206.66,Básico,produzinho,Casa & Cozinha
26,2026-02-07,23:19:45,Shampoo Reparação 500ml,1444.6,Edição Especial,em baixa,Beleza
22,2026-02-07,14:22:28,Toalha de Banho Premium,893.21,Importado,em baixa,Eletrônicos
12,2026-02-07,18:07:54,"Monitor 24"" Full HD",428.07,Edição Especial,ativo,Beleza
19,2026-02-07,14:22:40,Kit Ferramentas 46 peças,2389.39,Importado,ativo,Esportes
28,2026-02-07,12:56:30,Caderno Universitário 10 matérias,538.03,Importado,produzinho,Casa & Cozinha
4,2026-02-07,16:27:20,Smartwatch Fitness Pro,245.87,Premium,em baixa,Moda
12,2026-02-07,07:06:16,"Monitor 24"" Full HD",2426.07,Infantil,produzinho,Eletrônicos
16,2026-02-07,16:35:50,Carregador Turbo USB‑C,2324.18,Infantil,produzinho,Eletrônicos
21,2026-02-07,15:14:23,Jogo de Lençol Queen,600.94,Acessórios,ativo,Casa & Cozinha
22,2026-02-07,05:42:06,Toalha de Banho Premium,1652.87,Edição Especial,ativo,Moda
1,2026-02-07,10:52:13,Camiseta Básica Algodão,1187.07,Infantil,produzinho,Esportes
25,2026-02-07,06:21:08,Creme Hidratante 400ml,1821.85,Importado,ativo,Esportes
1,2026-02-07,15:26:31,Camiseta Básica Algodão,345.54,Básico,ativo,Eletrônicos
