produto_id,date,time,nome_produto,valor,categoria,status,departamento
20,2026-02-09,13:02:57,Panela Antiaderente 24cm,704.47,Infantil,em baixa,Eletrônicos
3,2026-02-09,04:21:13,Fone Bluetooth In-Ear,1567.95,Edição Especial,cancelado,Eletrônicos
7,2026-02-09,21:04:18,Cafeteira Elétrica 30xícaras,1814.62,Edição Especial,em baixa,Casa & Cozinha
5,2026-02-09,00:47:06,Mochila Notebook 15.6,1589.45,Premium,em baixa,Beleza
6,2026-02-09,08:13:00,Garrafa Térmica 750ml,2071.63,Importado,em baixa,Casa & Cozinha
3,2026-02-09,22:32:12,Fone Bluetooth In-Ear,705.32,Infantil,cancelado,Casa & Cozinha
8,2026-02-09,14:20:29,Liquidificador 1200W,2167.19,Básico,produzinho,Esportes
19,2026-02-09,18:46:16,Kit Ferramentas 46 peças,155.95,Premium,ativo,Eletrônicos
22,2026-02-09,12:10:38,Toalha de Banho Premium,1001.89,Sustentável,em baixa,Beleza
17,2026-02-09,06:23:52,Cabo USB‑C Reforçado 2m,2284.76,Sustentável,cancelado,Casa & Cozinha
13,2026-02-09,06:56:34,Câmera de Segurança Wi‑Fi,1528.89,Básico,cancelado,Esportes
17,2026-02-09,22:15:55,Cabo USB‑C Reforçado 2m,422.41,Edição Especial,produzinho,Beleza
28,2026-02-09,02:04:01,Caderno Universitário 10 matérias,999.16,Infantil,produzinho,Esportes
21,2026-02-09,05:20:31,Jogo de Lençol Queen,1841.26,Premium,em baixa,Beleza
23,2026-02-09,19:27:54,Perfume Masculino 100ml,703.94,Premium,ativo,Casa & Cozinha
19,2026-02-09,14:04:50,Kit Ferramentas 46 peças,2457.01,Sustentável,cancelado,Moda
26,2026-02-09,05:01:08,Shampoo Reparação 500ml,560.36,Premium,ativo,Casa & Cozinha
2,2026-02-09,16:35:27,Tênis Running Leve,773.43,Importado,em baixa,Moda
27,2026-02-09,07:56:27,Livro Best‑Seller,420.25,Premium,produzinho,Moda
16,2026-02-09,07:52:18,Carregador Turbo USB‑C,759.17,Básico,cancelado,Esportes
