produto_id,date,time,nome_produto,valor,categoria,status,departamento
16,2026-02-10,12:31:09,Carregador Turbo USB‑C,1549.81,Premium,produzinho,Moda
1,2026-02-10,14:40:10,Camiseta Básica Algodão,1385.39,Acessórios,ativo,Eletrônicos
21,2026-02-10,15:23:20,Jogo de Lençol Queen,1530.77,Infantil,produzinho,Eletrônicos
22,2026-02-10,03:52:21,Toalha de Banho Premium,837.24,Infantil,produzinho,Casa & Cozinha
26,2026-02-10,15:23:21,Shampoo Reparação 500ml,866.98,Infantil,ativo,Casa & Cozinha
23,2026-02-10,11:00:44,Perfume Masculino 100ml,2028.59,Sustentável,ativo,Moda
17,2026-02-10,14:52:57,Cabo USB‑C Reforçado 2m,2312.86,Acessórios,cancelado,Moda
15,2026-02-10,14:49:23,Power Bank 20.000mAh,555.17,Sustentável,ativo,Eletrônicos
17,2026-02-10,08:44:27,Cabo USB‑C Reforçado 2m,970.16,Básico,produzinho,Moda
28,2026-02-10,21:08:19,Caderno Universitário 10 matérias,535.09,Básico,produzinho,Moda
25,2026-02-10,04:19:20,Creme Hidratante 400ml,1668.7,Premium,em baixa,Beleza
2,2026-02-10,19:52:39,Tênis Running Leve,74.65,Acessórios,produzinho,Moda
17,2026-02-10,03:42:49,Cabo USB‑C Reforçado 2m,480.97,Infantil,produzinho,Moda
5,2026-02-10,15:15:51,Mochila Notebook 15.6,317.9,Infantil,ativo,Moda
12,2026-02-10,13:17:30,"Monitor 24"" Full HD",276.26,Premium,produzinho,Beleza
17,2026-02-10,01:52:01,Cabo USB‑C Reforçado 2m,773.5,Infantil,cancelado,Esportes
28,2026-02-10,01:34:49,Caderno Universitário 10 matérias,1529.01,Edição Especial,produzinho,Moda
10,2026-02-10,08:21:18,Teclado Mecânico RGB,57.45,Importado,cancelado,Esportes
14,2026-02-10,06:46:45,Lâmpada Smart LED,86.76,Premium,produzinho,Esportes
8,2026-02-10,08:20:17,Liquidificador 1200W,1827.54,Sustentável,em baixa,Casa & Cozinha
8,2026-02-10,02:09:09,Liquidificador 1200W,1376.14,Edição Especial,ativo,Beleza
21,2026-02-10,20:22:01,Jogo de Lençol Queen,1134.62,Acessórios,ativo,Casa & Cozinha
13,2026-02-10,11:01:27,Câmera de Segurança Wi‑Fi,450.38,Básico,ativo,Casa & Cozinha
13,2026-02-10,08:59:26,Câmera de Segurança Wi‑Fi,560.82,Acessórios,ativo,Casa & Cozinha
28,2026-02-10,05:57:46,Caderno Universitário 10 matérias,1596.82,Sustentável,produzinho,Esportes
19,2026-02-10,11:33:38,Kit Ferramentas 46 peças,493.37,Infantil,cancelado,Beleza
19,2026-02-10,20:14:58,Kit Ferramentas 46 peças,1788.36,Infantil,produzinho,Eletrônicos
2,2026-02-10,02:02:17,Tênis Running Leve,536.29,Básico,cancelado,Casa & Cozinha
3,2026-02-10,13:41:00,Fone Bluetooth In-Ear,1907.42,Infantil,ativo,Casa & Cozinha
12,2026-02-10,06:17:10,"Monitor 24"" Full HD",2413.6,Premium,cancelado,Casa & Cozinha
7,2026-02-10,08:56:49,Cafeteira Elétrica 30xícaras,552.51,Acessórios,ativo,Beleza
14,2026-02-10,20:04:45,Lâmpada Smart LED,1115.48,Infantil,em baixa,Casa & Cozinha
28,2026-02-10,23:15:35,Caderno Universitário 10 matérias,1764.12,Acessórios,em baixa,Moda
23,2026-02-10,16:45:33,Perfume Masculino 100ml,467.43,Infantil,cancelado,Esportes
4,2026-02-10,19:48:39,Smartwatch Fitness Pro,1680.46,Sustentável,cancelado,Eletrônicos
18,2026-02-10,04:35:51,Organizador de Cabos,940.93,Básico,em baixa,Casa & Cozinha
29,2026-02-10,14:32:43,Boneco Colecionável,1699.03,Acessórios,produzinho,Eletrônicos
8,2026-02-10,08:27:02,Liquidificador 1200W,1467.27,Edição Especial,em baixa,Casa & Cozinha
