produto_id,date,time,nome_produto,valor,categoria,status,departamento
6,2026-02-04,17:07:04,Garrafa Térmica 750ml,2008.58,Acessórios,cancelado,Esportes
28,2026-02-04,01:19:37,Caderno Universitário 10 matérias,837.05,Infantil,cancelado,Eletrônicos
28,2026-02-04,21:03:02,Caderno Universitário 10 matérias,1601.69,Importado,em baixa,Eletrônicos
21,2026-02-04,18:58:21,Jogo de Lençol Queen,2293.05,Sustentável,produzinho,Esportes
27,2026-02-04,01:45:18,Livro Best‑Seller,559.99,Acessórios,ativo,Moda
20,2026-02-04,01:58:50,Panela Antiaderente 24cm,543.84,Premium,em baixa,Beleza
16,2026-02-04,05:34:03,Carregador Turbo USB‑C,1356.7,Infantil,ativo,Beleza
24,2026-02-04,13:35:01,Perfume Feminino 100ml,2202.46,Infantil,produzinho,Eletrônicos
28,2026-02-04,04:53:48,Caderno Universitário 10 matérias,327.51,Premium,produzinho,Eletrônicos
13,2026-02-04,23:46:41,Câmera de Segurança Wi‑Fi,1407.61,Básico,cancelado,Moda
27,2026-02-04,02:55:15,Livro Best‑Seller,2334.56,Edição Especial,ativo,Esportes
21,2026-02-04,14:57:34,Jogo de Lençol Queen,452.58,Importado,em baixa,Esportes
21,2026-02-04,21:17:04,Jogo de Lençol Queen,2151.45,Sustentável,produzinho,Esportes
4,2026-02-04,18:36:41,Smartwatch Fitness Pro,1136.97,Acessórios,produzinho,Eletrônicos
14,2026-02-04,19:58:03,Lâmpada Smart LED,1246.0,Premium,em baixa,Eletrônicos
10,2026-02-04,20:18:49,Teclado Mecânico RGB,2292.66,Sustentável,produzinho,Beleza
29,2026-02-04,17:35:30,Boneco Colecionável,2239.8,Importado,ativo,Beleza
18,2026-02-04,22:11:32,Organizador de Cabos,953.05,Premium,produzinho,Beleza
4,2026-02-04,05:06:07,Smartwatch Fitness Pro,1371.48,Infantil,produzinho,Casa & Cozinha
4,2026-02-04,04:45:53,Smartwatch Fitness Pro,1050.93,Sustentável,em baixa,Esportes
13,2026-02-04,02:47:32,Câmera de Segurança Wi‑Fi,308.48,Premium,cancelado,Moda
2,2026-02-04,17:58:10,Tênis Running Leve,2001.15,Premium,em baixa,Eletrônicos
21,2026-02-04,10:57:51,Jogo de Lençol Queen,581.34,Importado,ativo,Moda
9,2026-02-04,09:50:16,Air Fryer 4L Digital,881.43,Acessórios,cancelado,Esportes
3,2026-02-04,06:55:56,Fone Bluetooth In-Ear,1345.02,Básico,produzinho,Eletrônicos
27,2026-02-04,12:19:48,Livro Best‑Seller,1719.79,Acessórios,ativo,Eletrônicos
20,2026-02-04,21:01:31,Panela Antiaderente 24cm,178.74,Sustentável,ativo,Beleza
15,2026-02-04,05:22:12,Power Bank 20.000mAh,2233.8,Sustentável,ativo,Casa & Cozinha
30,2026-02-04,01:49:14,Lego Compatível 500 peças,1734.44,Importado,ativo,Eletrônicos
11,2026-02-04,08:17:18,Mouse Gamer 12000 DPI,295.55,Edição Especial,cancelado,Beleza
2,2026-02-04,17:59:47,Tênis Running Leve,1372.22,Básico,em baixa,Esportes
7,2026-02-04,08:27:13,Cafeteira Elétrica 30xícaras,276.6,Importado,em baixa,Casa & Cozinha
13,2026-02-04,05:05:21,Câmera de Segurança Wi‑Fi,256.4,Infantil,produzinho,Beleza
11,2026-02-04,00:39:40,Mouse Gamer 12000 DPI,560.39,Básico,produzinho,Esportes
