produto_id,date,time,nome_produto,valor,categoria,status,departamento
25,2026-02-03,20:25:11,Creme Hidratante 400ml,491.52,Infantil,produzinho,Eletrônicos
24,2026-02-03,02:07:16,Perfume Feminino 100ml,1559.08,Sustentável,produzinho,Casa & Cozinha
9,2026-02-03,23:26:47,Air Fryer 4L Digital,325.37,Importado,ativo,Casa & Cozinha
19,2026-02-03,06:41:16,Kit Ferramentas 46 peças,170.53,Premium,produzinho,Beleza
7,2026-02-03,23:01:26,Cafeteira Elétrica 30xícaras,804.37,Edição Especial,cancelado,Beleza
24,2026-02-03,12:53:59,Perfume Feminino 100ml,2147.05,Infantil,cancelado,Esportes
4,2026-02-03,07:14:06,Smartwatch Fitness Pro,262.6,Edição Especial,ativo,Eletrônicos
4,2026-02-03,08:42:28,Smartwatch Fitness Pro,1519.15,Edição Especial,produzinho,Casa & Cozinha
16,2026-02-03,20:27:21,Carregador Turbo USB‑C,295.42,Básico,em baixa,Eletrônicos
20,2026-02-03,01:06:11,Panela Antiaderente 24cm,1848.27,Básico,cancelado,Beleza
23,2026-02-03,01:14:20,Perfume Masculino 100ml,1220.09,Acessórios,cancelado,Moda
4,2026-02-03,08:36:49,Smartwatch Fitness Pro,2253.22,Edição Especial,cancelado,Eletrônicos
11,2026-02-03,14:29:53,Mouse Gamer 12000 DPI,2056.04,Acessórios,produzinho,Beleza
6,2026-02-03,06:25:48,Garrafa Térmica 750ml,940.78,Infantil,em baixa,Esportes
18,2026-02-03,14:39:52,Organizador de Cabos,1369.84,Edição Especial,produzinho,Esportes
25,2026-02-03,21:41:20,Creme Hidratante 400ml,2379.92,Edição Especial,ativo,Casa & Cozinha
22,2026-02-03,01:23:34,Toalha de Banho Premium,905.9,Edição Especial,em baixa,Casa & Cozinha
27,2026-02-03,00:33:22,Livro Best‑Seller,780.8,Básico,em baixa,Esportes
21,2026-02-03,18:26:02,Jogo de Lençol Queen,1166.29,Premium,cancelado,Beleza
20,2026-02-03,16:50:56,Panela Antiaderente 24cm,2463.69,Básico,produzinho,Beleza
11,2026-02-03,10:08:51,Mouse Gamer 12000 DPI,1619.33,Acessórios,ativo,Moda
9,2026-02-03,09:03:28,Air Fryer 4L Digital,1984.22,Acessórios,cancelado,Beleza
30,2026-02-03,04:13:44,Lego Compatível 500 peças,1746.26,Infantil,em baixa,Esportes
5,2026-02-03,08:15:21,Mochila Notebook 15.6,1085.71,Premium,produzinho,Casa & Cozinha
30,2026-02-03,15:53:52,Lego Compatível 500 peças,1552.22,Importado,produzinho,Casa & Cozinha
27,2026-02-03,08:11:41,Livro Best‑Seller,1051.0,Premium,cancelado,Eletrônicos
20,2026-02-03,19:20:13,Panela Antiaderente 24cm,1146.93,Básico,em baixa,Casa & Cozinha
10,2026-02-03,12:03:50,Teclado Mecânico RGB,756.95,Infantil,em baixa,Esportes
6,2026-02-03,06:15:08,Garrafa Térmica 750ml,1888.09,Básico,ativo,Casa & Cozinha
11,2026-02-03,02:37:12,Mouse Gamer 12000 DPI,32.82,Premium,cancelado,Casa & Cozinha
2,2026-02-03,03:46:37,Tênis Running Leve,1830.92,Edição Especial,em baixa,Beleza
9,2026-02-03,16:06:24,Air Fryer 4L Digital,2409.58,Básico,ativo,Casa & Cozinha
28,2026-02-03,02:21:18,Caderno Universitário 10 matérias,1559.67,Básico,cancelado,Beleza
12,2026-02-03,01:22:20,"Monitor 24"" Full HD",2374.24,Importado,cancelado,Esportes
7,2026-02-03,00:55:42,Cafeteira Elétrica 30xícaras,2226.06,Premium,produzinho,Esportes
17,2026-02-03,18:52:28,Cabo USB‑C Reforçado 2m,1468.8,Sustentável,cancelado,Beleza
8,2026-02-03,09:04:45,Liquidificador 1200W,1938.06,Premium,ativo,Beleza
3,2026-02-03,00:25:05,Fone Bluetooth In-Ear,1709.05,Edição Especial,em baixa,Beleza
8,2026-02-03,02:20:58,Liquidificador 1200W,2159.78,Acessórios,cancelado,Esportes
2,2026-02-03,18:21:33,Tênis Running Leve,1289.98,Edição Especial,ativo,Esportes
24,2026-02-03,18:32:21,Perfume Feminino 100ml,2041.98,Edição Especial,cancelado,Esportes
23,2026-02-03,16:00:29,Perfume Masculino 100ml,320.85,Importado,produzinho,Casa & Cozinha
2,2026-02-03,19:29:15,Tênis Running Leve,2298.1,Sustentável,em baixa,Casa & Cozinha
28,2026-02-03,18:05:31,Caderno Universitário 10 matérias,480.63,Infantil,cancelado,Eletrônicos
11,2026-02-03,10:52:38,Mouse Gamer 12000 DPI,366.39,Básico,ativo,Beleza
19,2026-02-03,12:01:15,Kit Ferramentas 46 peças,1389.25,Infantil,cancelado,Moda
2,2026-02-03,13:54:07,Tênis Running Leve,1616.54,Infantil,ativo,Moda
9,2026-02-03,15:20:53,Air Fryer 4L Digital,2247.17,Sustentável,ativo,Beleza
27,2026-02-03,01:16:53,Livro Best‑Seller,1342.5,Edição Especial,produzinho,Casa & Cozinha
17,2026-02-03,21:49:46,Cabo USB‑C Reforçado 2m,1791.01,Sustentável,em baixa,Moda
5,2026-02-03,05:10:01,Mochila Notebook 15.6,1374.73,Infantil,produzinho,Beleza
21,2026-02-03,00:39:44,Jogo de Lençol Queen,2060.44,Premium,cancelado,Casa & Cozinha
16,2026-02-03,02:41:54,Carregador Turbo USB‑C,333.71,Edição Especial,em baixa,Moda
20,2026-02-03,17:01:18,Panela Antiaderente 24cm,1706.5,Edição Especial,em baixa,Moda
25,2026-02-03,21:47:30,Creme Hidratante 400ml,1262.58,Infantil,em baixa,Casa & Cozinha
6,2026-02-03,03:56:37,Garrafa Térmica 750ml,2209.81,Sustentável,ativo,Esportes
8,2026-02-03,17:10:17,Liquidificador 1200W,1978.81,Premium,produzinho,Esportes
1,2026-02-03,23:09:38,Camiseta Básica Algodão,1933.72,Importado,ativo,Eletrônicos
23,2026-02-03,17:53:24,Perfume Masculino 100ml,1644.32,Edição Especial,produzinho,Eletrônicos
