produto_id,date,time,nome_produto,valor,categoria,status,departamento
1,2026-02-06,03:07:43,Camiseta Básica Algodão,2121.74,Edição Especial,em baixa,Casa & Cozinha
11,2026-02-06,00:13:47,Mouse Gamer 12000 DPI,1367.89,Acessórios,produzinho,Beleza
4,2026-02-06,18:16:14,Smartwatch Fitness Pro,1048.24,Infantil,produzinho,Beleza
12,2026-02-06,01:19:28,"Monitor 24"" Full HD",842.79,Premium,cancelado,Eletrônicos
20,2026-02-06,16:24:21,Panela Antiaderente 24cm,1524.56,Premium,produzinho,Esportes
24,2026-02-06,06:53:10,Perfume Feminino 100ml,1039.91,Básico,cancelado,Eletrônicos
28,2026-02-06,17:22:09,Caderno Universitário 10 matérias,620.79,Edição Especial,ativo,Esportes
10,2026-02-06,07:07:21,Teclado Mecânico RGB,792.56,Premium,cancelado,Beleza
20,2026-02-06,06:07:19,Panela Antiaderente 24cm,2158.02,Acessórios,em baixa,Eletrônicos
28,2026-02-06,07:52:05,Caderno Universitário 10 matérias,1736.07,Importado,ativo,Moda
28,2026-02-06,02:58:25,Caderno Universitário 10 matérias,838.37,Importado,em baixa,Casa & Cozinha
26,2026-02-06,16:56:16,Shampoo Reparação 500ml,2382.16,Infantil,ativo,Moda
12,2026-02-06,00:39:23,"Monitor 24"" Full HD",650.99,Edição Especial,cancelado,Casa & Cozinha
24,2026-02-06,04:34:49,Perfume Feminino 100ml,2071.4,Acessórios,produzinho,Beleza
22,2026-02-06,22:31:02,Toalha de Banho Premium,1587.12,Infantil,ativo,Moda
30,2026-02-06,16:15:23,Lego Compatível 500 peças,330.22,Importado,produzinho,Moda
12,2026-02-06,05:03:40,"Monitor 24"" Full HD",326.97,Edição Especial,produzinho,Esportes
7,2026-02-06,18:35:53,Cafeteira Elétrica 30xícaras,1130.92,Sustentável,ativo,Moda
23,2026-02-06,11:30:10,Perfume Masculino 100ml,1292.13,Acessórios,cancelado,Moda
2,2026-02-06,16:34:00,Tênis Running Leve,6.81,Básico,em baixa,Beleza
13,2026-02-06,18:59:18,Câmera de Segurança Wi‑Fi,899.64,Infantil,cancelado,Casa & Cozinha
13,2026-02-06,11:39:17,Câmera de Segurança Wi‑Fi,303.74,Infantil,em baixa,Moda
10,2026-02-06,02:58:14,Teclado Mecânico RGB,2073.25,Acessórios,cancelado,Casa & Cozinha
2,2026-02-06,15:42:40,Tênis Running Leve,2177.71,Importado,ativo,Esportes
18,2026-02-06,13:59:08,Organizador de Cabos,1185.77,Acessórios,cancelado,Eletrônicos
9,2026-02-06,22:11:45,Air Fryer 4L Digital,726.78,Importado,cancelado,Casa & Cozinha
5,2026-02-06,03:53:17,Mochila Notebook 15.6,1413.08,Premium,cancelado,Moda
1,2026-02-06,19:22:49,Camiseta Básica Algodão,1817.95,Importado,cancelado,Esportes
24,2026-02-06,18:30:39,Perfume Feminino 100ml,1676.03,Importado,ativo,Esportes
16,2026-02-06,04:29:07,Carregador Turbo USB‑C,1166.32,Infantil,ativo,Esportes
9,2026-02-06,10:19:09,Air Fryer 4L Digital,935.69,Acessórios,cancelado,Beleza
6,2026-02-06,14:22:12,Garrafa Térmica 750ml,586.49,Edição Especial,produzinho,Esportes
11,2026-02-06,06:23:37,Mouse Gamer 12000 DPI,781.61,Sustentável,produzinho,Beleza
28,2026-02-06,13:41:04,Caderno Universitário 10 matérias,1225.95,Básico,ativo,Esportes
16,2026-02-06,05:04:11,Carregador Turbo USB‑C,1200.91,Premium,em baixa,Beleza
8,2026-02-06,06:39:28,Liquidificador 1200W,2009.4,Acessórios,em baixa,Beleza
6,2026-02-06,05:59:23,Garrafa Térmica 750ml,2416.19,Importado,produzinho,Eletrônicos
4,2026-02-06,00:26:36,Smartwatch Fitness Pro,796.29,Sustentável,cancelado,Casa & Cozinha
